"X","gender","d_age","samerace","pref_o_attractive","pref_o_sincere","pref_o_intelligence","attractive_o","sinsere_o","intelligence_o","attractive_important","sincere_important","intellicence_important","attractive","sincere","intelligence","attractive_partner","intelligence_partner","sincere_partner","interests_correlate","like","guess_prob_liked","decision","decision_o","match"
1,"F",6,0,4,3,3,6,8,8,2,3,3,6,8,8,6,7,9,0.14,7,6,1,0,0
2,"F",1,0,7,1,1,7,8,10,2,3,3,6,8,8,7,7,8,0.54,7,5,1,0,0
3,"F",1,1,2,2,2,10,10,10,2,3,3,6,8,8,5,9,8,0.16,7,5,1,1,1
4,"F",2,0,4,1,2,7,8,9,2,3,3,6,8,8,7,8,6,0.61,7,6,1,1,1
5,"F",3,0,4,2,3,8,7,9,2,3,3,6,8,8,5,7,6,0.21,6,6,1,1,1
6,"F",4,0,6,1,4,7,7,8,2,3,3,6,8,8,4,7,9,0.25,6,5,0,1,0
7,"F",9,0,4,2,3,3,6,7,2,3,3,6,8,8,7,7,6,0.34,6,5,1,0,0
8,"F",6,0,4,2,2,6,7,5,2,3,3,6,8,8,4,7,9,0.5,6,7,0,0,0
9,"F",7,0,6,1,3,7,7,8,2,3,3,6,8,8,7,8,6,0.28,7,7,1,1,1
10,"F",3,0,10,1,1,6,6,6,2,3,3,6,8,8,5,6,6,-0.36,6,6,1,0,0
11,"F",3,1,4,3,3,8,7,6,5,1,3,7,5,10,5,8,7,0.29,6,4,0,0,0
12,"F",2,1,7,1,1,7,6,10,5,1,3,7,5,10,8,6,5,0.18,7,3,0,0,0
13,"F",2,0,2,2,2,10,10,10,5,1,3,7,5,10,5,9,8,0.1,6,7,0,1,0
14,"F",1,1,4,1,2,9,9,9,5,1,3,7,5,10,7,7,9,-0.21,7,8,1,1,1
15,"F",0,0,4,2,3,10,10,10,5,1,3,7,5,10,6,7,8,0.32,8,6,0,1,0
16,"F",1,1,6,1,4,7,8,7,5,1,3,7,5,10,8,8,7,0.73,6,5,0,1,0
17,"F",6,1,4,2,3,5,3,4,5,1,3,7,5,10,7,9,5,0.6,8,7,1,0,0
18,"F",3,1,4,2,2,7,7,7,5,1,3,7,5,10,5,7,8,0.07,5,6,0,1,0
19,"F",4,1,6,1,3,8,6,9,5,1,3,7,5,10,7,8,6,0.11,5,6,1,1,1
20,"F",0,1,10,1,1,6,5,7,5,1,3,7,5,10,6,8,7,0.39,8,7,1,0,0
21,"F",2,1,4,3,3,7,8,6,4,2,4,8,9,8,7,10,9,-0.24,8,7,0,0,0
22,"F",3,1,7,1,1,6,7,10,4,2,4,8,9,8,9,9,7,-0.14,8,7,0,0,0
23,"F",3,0,2,2,2,10,10,10,4,2,4,8,9,8,7,9,9,0.09,8,7,0,1,0
24,"F",2,1,4,1,2,7,9,8,4,2,4,8,9,8,9,9,7,-0.04,8,7,0,1,0
25,"F",1,0,4,2,3,6,10,8,4,2,4,8,9,8,9,10,10,-0.14,9,5,0,1,0
26,"F",0,1,6,1,4,7,6,6,4,2,4,8,9,8,8,10,10,-0.3,8,5,0,1,0
27,"F",5,1,4,2,3,6,3,5,4,2,4,8,9,8,8,10,9,-0.26,8,7,0,0,0
