Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
14.0,11,36228.2,2991.0166666666664,8.0,7.0,34.0,2.0,28,17.0,18.07,4.0,1,1643.06,33.24818320565885,18.58,1,47.25240768446396,282.5395582654936,6,259.3097007167091,1
29.0,5,16362.68,1536.5566666666666,10.0,5.0,18.0,6.0,57,22.0,3.36,10.0,0,2635.48,27.937121571503354,8.17,2,77.71339407246742,85.7180776732357,6,280.22419492096355,1
39.0,10,33480.02,2775.001666666666,8.0,10.0,19.0,9.0,58,17.0,6.73,7.0,0,4177.98,23.53045336227779,3.42,1,128.0957058033712,186.93557746053204,5,242.4688834027634,1
38.0,12,44768.73,3911.7275,6.0,10.0,29.0,4.0,47,17.0,11.51,8.0,0,2286.79,39.6941115034594,16.83,1,96.1667405694499,123.8553879587422,2,421.1506214718079,1
22.0,6,56668.5,4996.375,4.0,8.0,28.0,2.0,22,10.0,17.810000000000006,12.0,1,1627.25,32.297389028353216,9.33,1,82.49753192325132,69.73648719736674,2,597.4034808793821,1
14.0,4,20986.84,1846.9033333333327,9.0,10.0,17.0,3.0,32,13.0,21.35,11.0,0,1917.48,36.47242267833582,10.25,1,49.83825003896327,142.3925680128093,5,272.45951528156075,1
41.0,14,63248.98,5456.748333333334,5.0,4.0,4.0,3.0,11,10.0,1.48,3.0,2,424.98,37.64472917354317,24.25,0,119.47550255787289,196.7745622730156,3,489.424768502445,1
38.0,3,29777.3,2530.4416666666666,10.0,10.0,31.0,5.0,16,16.0,7.77,11.0,0,1874.2,35.18540073991342,6.33,1,105.82413239502584,125.3278960063871,6,311.89213826525366,1
19.0,14,33479.22,2765.935,5.0,4.0,12.0,0.0,-4,2.0,11.7,2.0,2,1249.18,24.46333842614,30.83,0,0.0,117.88605885492449,6,448.7074411450755,1
37.0,0,20426.38,1653.1983333333335,1.0,7.0,11.0,4.0,3,4.0,3.45,1.0,2,622.66,30.1968723483122,32.08,0,44.63949381844689,35.9328297139946,3,344.7475098008918,1
34.0,4,49056.09,4254.0075,7.0,8.0,19.0,3.0,27,20.0,6.29,12.0,0,1336.77,31.43217325700345,6.5,1,116.69506916913976,263.9107769643336,6,334.7949038665266,1
